filename,notes,authors,licenses,url1,url2,url3,url4,url5,status
body/male/human/white.png,,"Stephen Challener (Redshrike), Johannes Sjölund (wulax)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,OK
beards/male/beard/white.png,,"David Conway Jr. (JaidynReiman), Carlo Enrico Victoria (Nemisys)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
legs/pants/male/black.png,,"bluecarrot16, David Conway Jr. (JaidynReiman), Joe White, Matthew Krohn (makrohn), Johannes Sj?lund (wulax)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,OK
torso/jacket/tabard/male/blue.png,,,,,,,,,BAD
torso/clothes/vest/male/slate.png,,"bluecarrot16, Thane Brimhall (pennomi), laetissima","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-2-characters,https://opengameart.org/content/lpc-gentleman,https://opengameart.org/content/lpc-pirates,,,OK
hat/magic/male/moon.png,,"Michael Whitlock (bigbeargames), Tracy",OGA-BY 3.0,https://opengameart.org/content/lpc-celestial-wizard-hats,https://opengameart.org/content/merlins-hat,,,,OK